impl,workload,k,routes,acl_rules,seed,dataset,fib_rules,acl_rule_count,predicates,wall_s,peak_rss_kb,fwd_ms,acl_ms,ap_ms,reach_ms,total_ms,atoms,pairs,equal_acl_pairs,fwd_fraction,acl_fraction,engine_nodes,label_nodes,engine_bytes,max_nodes,max_edges,max_conv,status
gcflobdd/field-grouped,all,6,150,8,3,ft6_r150_a8_s3,420,162,168,0.59,144576,40.195,12.190,385.078,6.577,444.041,3859,1821,0,36.054076731205,0.003936944059,33797,-1,26516096,20,39,161,ok
gcflobdd/aligned-balanced,all,6,150,8,3,ft6_r150_a8_s3,420,162,168,0.38,134896,31.207,8.103,175.831,6.413,221.554,3859,1821,0,36.054076731205,0.003936944059,83584,-1,17011360,149,405,1051,ok
gcflobdd/aligned-balanced-shared,all,6,150,8,3,ft6_r150_a8_s3,420,162,168,0.37,134320,28.989,7.809,182.312,6.548,225.657,3859,1821,0,36.054076731205,0.003936944059,81982,-1,16774536,102,306,806,ok
jdd-bdd,all,8,200,8,3,ft8_r200_a8_s3,840,288,346,0.63,245344,24.805,10.200,406.246,19.445,460.697,10161,9550,0,64.070967376232,0.007843308389,-1,-1,129948466,317,-1,-1,ok
ndd,all,8,200,8,3,ft8_r200_a8_s3,840,288,346,0.47,264416,46.519,9.808,205.311,20.777,282.415,10161,9550,0,64.070967376232,0.007843308389,41726,92569,-1,-1,-1,-1,ok
gcflobdd/field-grouped,all,8,200,8,3,ft8_r200_a8_s3,840,288,346,2.55,315936,67.018,20.765,1861.052,21.052,1969.888,10161,9550,0,64.070967376232,0.007843308389,107244,-1,85750128,18,35,134,ok
gcflobdd/aligned-balanced,all,8,200,8,3,ft8_r200_a8_s3,840,288,346,1.35,336848,42.175,13.983,903.870,31.044,991.071,10161,9550,0,64.070967376232,0.007843308389,295578,-1,66493824,148,397,1011,ok
gcflobdd/aligned-balanced-shared,all,8,200,8,3,ft8_r200_a8_s3,840,288,346,1.20,338576,50.312,11.545,841.086,21.122,924.066,10161,9550,0,64.070967376232,0.007843308389,293266,-1,66150992,97,285,750,ok
jdd-bdd,all,10,250,8,3,ft10_r250_a8_s3,1500,450,574,2.06,468752,32.853,14.890,1759.683,64.349,1871.776,27703,34380,0,100.088823258877,0.007858745305,-1,-1,129948466,383,-1,-1,ok
ndd,all,10,250,8,3,ft10_r250_a8_s3,1500,450,574,0.88,494544,46.159,13.548,572.999,63.970,696.677,27703,34380,0,100.088823258877,0.007858745305,98210,195842,-1,-1,-1,-1,ok
gcflobdd/field-grouped,all,10,250,8,3,ft10_r250_a8_s3,1500,450,574,5.79,1025664,63.833,28.754,5022.862,70.470,5185.918,27703,34380,0,100.088823258877,0.007858745305,277304,-1,252695288,20,33,125,ok
gcflobdd/aligned-balanced,all,10,250,8,3,ft10_r250_a8_s3,1500,450,574,3.83,1017200,45.894,19.704,2940.497,63.886,3069.982,27703,34380,0,100.088823258877,0.007858745305,918366,-1,222585544,153,413,1053,ok
gcflobdd/aligned-balanced-shared,all,10,250,8,3,ft10_r250_a8_s3,1500,450,574,3.70,1015264,40.160,18.199,2891.587,62.107,3012.053,27703,34380,0,100.088823258877,0.007858745305,915135,-1,222118440,104,311,800,ok
jdd-bdd,all,12,300,8,3,ft12_r300_a8_s3,2460,648,890,5.41,855968,29.625,18.864,4918.064,246.160,5212.713,65106,98592,0,144.101827144623,0.015686388373,-1,-1,134142658,399,-1,-1,ok
ndd,all,12,300,8,3,ft12_r300_a8_s3,2460,648,890,2.04,783248,52.403,19.610,1569.159,210.725,1851.897,65106,98592,0,144.101827144623,0.015686388373,214463,310019,-1,-1,-1,-1,ok
gcflobdd/field-grouped,all,12,300,8,3,ft12_r300_a8_s3,2460,648,890,16.11,2590624,79.840,32.748,14516.377,246.566,14875.531,65106,98592,0,144.101827144623,0.015686388373,633792,-1,646530592,23,28,110,ok
gcflobdd/aligned-balanced,all,12,300,8,3,ft12_r300_a8_s3,2460,648,890,11.76,3143744,51.644,22.909,9096.443,362.568,9533.563,65106,98592,0,144.101827144623,0.015686388373,2408357,-1,640334760,165,451,1135,ok
gcflobdd/aligned-balanced-shared,all,12,300,8,3,ft12_r300_a8_s3,2460,648,890,11.61,3207632,51.663,24.078,9347.014,253.419,9676.174,65106,98592,0,144.101827144623,0.015686388373,2404381,-1,639767168,105,315,803,ok
